[0.009s][info][gc] Using Serial
[20.202s][info][gc] GC(67) Pause Young (Allocation Failure) 4M->1M(11M) 0.173ms
[20.204s][info][gc] GC(68) Pause Young (Allocation Failure) 4M->1M(11M) 0.153ms
[20.206s][info][gc] GC(69) Pause Young (Allocation Failure) 4M->1M(11M) 0.122ms
[20.208s][info][gc] GC(70) Pause Young (Allocation Failure) 4M->1M(11M) 0.175ms
[20.209s][info][gc] GC(71) Pause Young (Allocation Failure) 4M->1M(11M) 0.163ms
[20.211s][info][gc] GC(72) Pause Young (Allocation Failure) 4M->1M(11M) 0.140ms
[20.213s][info][gc] GC(73) Pause Young (Allocation Failure) 4M->1M(11M) 0.116ms
[20.215s][info][gc] GC(74) Pause Young (Allocation Failure) 4M->1M(11M) 0.169ms
[20.216s][info][gc] GC(75) Pause Young (Allocation Failure) 4M->1M(11M) 0.158ms
[20.218s][info][gc] GC(76) Pause Young (Allocation Failure) 4M->1M(11M) 0.127ms
[20.220s][info][gc] GC(77) Pause Young (Allocation Failure) 4M->1M(11M) 0.107ms
[20.222s][info][gc] GC(78) Pause Young (Allocation Failure) 4M->1M(11M) 0.171ms
[20.223s][info][gc] GC(79) Pause Young (Allocation Failure) 4M->1M(11M) 0.151ms
[20.225s][info][gc] GC(80) Pause Young (Allocation Failure) 4M->1M(11M) 0.120ms
[20.227s][info][gc] GC(81) Pause Young (Allocation Failure) 4M->1M(11M) 0.175ms
[20.229s][info][gc] GC(82) Pause Young (Allocation Failure) 4M->1M(11M) 0.169ms
[20.230s][info][gc] GC(83) Pause Young (Allocation Failure) 4M->1M(11M) 0.140ms
[20.232s][info][gc] GC(84) Pause Young (Allocation Failure) 4M->1M(11M) 0.117ms
[20.234s][info][gc] GC(85) Pause Young (Allocation Failure) 4M->1M(11M) 0.167ms
[20.236s][info][gc] GC(86) Pause Young (Allocation Failure) 4M->1M(11M) 0.160ms
[20.237s][info][gc] GC(87) Pause Young (Allocation Failure) 4M->1M(11M) 0.130ms
[20.239s][info][gc] GC(88) Pause Young (Allocation Failure) 4M->1M(11M) 0.102ms
[20.241s][info][gc] GC(89) Pause Young (Allocation Failure) 4M->1M(11M) 0.169ms
[20.242s][info][gc] GC(90) Pause Young (Allocation Failure) 5M->1M(11M) 0.148ms
[20.244s][info][gc] GC(91) Pause Young (Allocation Failure) 4M->1M(11M) 0.127ms
[20.246s][info][gc] GC(92) Pause Young (Allocation Failure) 4M->1M(11M) 0.173ms
[20.248s][info][gc] GC(93) Pause Young (Allocation Failure) 4M->1M(11M) 0.173ms
[20.249s][info][gc] GC(94) Pause Young (Allocation Failure) 4M->1M(11M) 0.135ms
[20.251s][info][gc] GC(95) Pause Young (Allocation Failure) 4M->1M(11M) 0.112ms
[20.253s][info][gc] GC(96) Pause Young (Allocation Failure) 4M->1M(11M) 0.181ms
[20.254s][info][gc] GC(97) Pause Young (Allocation Failure) 5M->1M(11M) 0.150ms
[20.256s][info][gc] GC(98) Pause Young (Allocation Failure) 4M->1M(11M) 0.128ms
[20.258s][info][gc] GC(99) Pause Young (Allocation Failure) 4M->1M(11M) 0.175ms
[20.260s][info][gc] GC(100) Pause Young (Allocation Failure) 5M->1M(11M) 0.308ms
[20.261s][info][gc] GC(101) Pause Young (Allocation Failure) 5M->1M(11M) 0.146ms
[20.263s][info][gc] GC(102) Pause Young (Allocation Failure) 4M->1M(11M) 0.131ms
[20.265s][info][gc] GC(103) Pause Young (Allocation Failure) 4M->1M(11M) 0.169ms
[20.266s][info][gc] GC(104) Pause Young (Allocation Failure) 4M->1M(11M) 0.154ms
[20.268s][info][gc] GC(105) Pause Young (Allocation Failure) 4M->1M(11M) 0.129ms
[20.269s][info][gc] GC(106) Pause Young (Allocation Failure) 4M->1M(11M) 0.102ms
[20.271s][info][gc] GC(107) Pause Young (Allocation Failure) 4M->1M(11M) 0.172ms
[20.273s][info][gc] GC(108) Pause Young (Allocation Failure) 5M->1M(11M) 0.141ms
[20.274s][info][gc] GC(109) Pause Young (Allocation Failure) 4M->1M(11M) 0.120ms
[20.277s][info][gc] GC(110) Pause Young (Allocation Failure) 4M->1M(11M) 0.201ms
[20.278s][info][gc] GC(111) Pause Young (Allocation Failure) 5M->1M(11M) 0.162ms
[20.280s][info][gc] GC(112) Pause Young (Allocation Failure) 5M->1M(11M) 0.145ms
